year,month,specific_humidity_mean
2000,1,0.0013151998551862638
2000,2,0.0018201746511541887
2000,3,0.0024959675614664905
2000,4,0.0028917960504884752
2000,5,0.0038654746041987416
2000,6,0.005512390951895448
2000,7,0.007061974969443239
2000,8,0.006435106398796458
2000,9,0.005212648402746938
2000,10,0.0036375863054479147
2000,11,0.002445173730931247
2000,12,0.0014993860121602317
2001,1,0.0021230050594645985
2001,2,0.0014724496066403875
2001,3,0.002254519462895409
2001,4,0.002895241872699073
2001,5,0.0038209862410534534
2001,6,0.005476310738004343
2001,7,0.006818908707450652
2001,8,0.0070467331175955794
2001,9,0.005433586086635049
2001,10,0.003381067205690718
2001,11,0.0024705187656826246
2001,12,0.0015683855557685176
2002,1,0.0017869546004721881
2002,2,0.0018792433483423637
2002,3,0.001491402893562703
2002,4,0.0026023331200012954
2002,5,0.003645354375539931
2002,6,0.005775243622327116
2002,7,0.00659457624860091
2002,8,0.006324731022011111
2002,9,0.005214270516122017
2002,10,0.003737350789348144
2002,11,0.0029817381057555396
2002,12,0.002133190441601243
2003,1,0.0019864359383346543
2003,2,0.0018951958142042072
2003,3,0.002073799721321288
2003,4,0.0031599207882414353
2003,5,0.0038023752708222476
2003,6,0.005619852000120796
2003,7,0.006898908036120676
2003,8,0.006441642266298749
2003,9,0.005282736801975734
2003,10,0.004187475498746968
2003,11,0.0018971751670025633
2003,12,0.0018194549087977966
2004,1,0.0014176943174815679
2004,2,0.0022216993633612315
2004,3,0.0025450079794791295
2004,4,0.0032281995590881557
2004,5,0.00424673577942689
2004,6,0.006388767788510717
2004,7,0.0076542673102349135
2004,8,0.007425804195705878
2004,9,0.005049714556460004
2004,10,0.0037079058640831233
2004,11,0.002676482930303958
2004,12,0.001982338792909021
2005,1,0.0013867552707471666
2005,2,0.0018647214724795298
2005,3,0.0025568377046660904
2005,4,0.0031968172405812782
2005,5,0.0047308864301452815
2005,6,0.006231076836820251
2005,7,0.006859666985274276
2005,8,0.006758061772895563
2005,9,0.005233671245010265
2005,10,0.003970111329052148
2005,11,0.002614632467248735
2005,12,0.002067907865125889
2006,1,0.002134337269907321
2006,2,0.0016025459248897931
2006,3,0.0019363993831388406
2006,4,0.003128398713661856
2006,5,0.004207815897264269
2006,6,0.00587166373938068
2006,7,0.007091673267561826
2006,8,0.006165688093870304
2006,9,0.005588797343805459
2006,10,0.0037326985412269244
2006,11,0.0016464081202903131
2006,12,0.0020842717783094546
2007,1,0.001758046997395443
2007,2,0.0019140048107692189
2007,3,0.002313921163629709
2007,4,0.0029277171419902406
2007,5,0.004002735916630518
2007,6,0.006007693671273396
2007,7,0.0074002010184441615
2007,8,0.006640678768489566
2007,9,0.005286720324160837
2007,10,0.0038160205293297786
2007,11,0.002380550282176852
2007,12,0.0014840175210928187
2008,1,0.001441217688769164
2008,2,0.001829422354171854
2008,3,0.0021978450686066238
2008,4,0.002502415844366063
2008,5,0.004429420327746143
2008,6,0.005334758778423849
2008,7,0.006537048051205791
2008,8,0.00696007103523712
2008,9,0.005414888491493012
2008,10,0.003566914843269032
2008,11,0.002873086352861565
2008,12,0.00112543694353377
2009,1,0.0014574694474407761
2009,2,0.001499036191636085
2009,3,0.001700567157045039
2009,4,0.0027917678307943753
2009,5,0.003853834919303505
2009,6,0.005553967018060508
2009,7,0.007409229922535088
2009,8,0.006829145352293152
2009,9,0.005929385607622515
2009,10,0.0032767250004529223
2009,11,0.002536060994950793
2009,12,0.0012007612579657521
2010,1,0.0019449138685286534
2010,2,0.0024110536333540296
2010,3,0.0026583741574609508
2010,4,0.002958762613785465
2010,5,0.003931045384971456
2010,6,0.005560694182132927
2010,7,0.006482349549717097
2010,8,0.00680546436688091
2010,9,0.005279719022421869
2010,10,0.004142678698200552
2010,11,0.002085192015283447
2010,12,0.0015199954146286273
2011,1,0.0015831404852277393
2011,2,0.0013788989774157275
2011,3,0.0019684662240774193
2011,4,0.0026970133971292902
2011,5,0.004382287406481045
2011,6,0.0059094168716535425
2011,7,0.006743557681486171
2011,8,0.006337752708068198
2011,9,0.005569873110781204
2011,10,0.0038119538479555984
2011,11,0.0020051178291350456
2011,12,0.0020771986425481693
2012,1,0.001467049380772896
2012,2,0.0020476332352245747
2012,3,0.00214386747240014
2012,4,0.00318383066661524
2012,5,0.003808180856857405
2012,6,0.005755600901833428
2012,7,0.007289761407998417
2012,8,0.0069508923340621635
2012,9,0.005572134028792729
2012,10,0.003199004702316863
2012,11,0.0022329058248099953
2012,12,0.0015100943424676808
2013,1,0.0018464000157074208
2013,2,0.0024617434262108
2013,3,0.0021126694984726145
2013,4,0.002758720366717833
2013,5,0.004564237715005407
2013,6,0.0065316326477678896
2013,7,0.006983871889065687
2013,8,0.007780241978254739
2013,9,0.006291131258114421
2013,10,0.004178011738140992
2013,11,0.0023443884446050023
2013,12,0.0016636867863844143
2014,1,0.0023141984084841106
2014,2,0.0010920578027178139
2014,3,0.0018915534212666318
2014,4,0.0030951040821062337
2014,5,0.004465943639514895
2014,6,0.005622701995192808
2014,7,0.007219977862351468
2014,8,0.0071319643950046785
2014,9,0.005815547868083081
2014,10,0.004582662673922071
2014,11,0.002178304051084868
2014,12,0.0019414986456560604
2015,1,0.0022358573862298497
2015,2,0.002311365541805966
2015,3,0.0028692025767429606
2015,4,0.003114062048161457
2015,5,0.004753325248930448
2015,6,0.006256232915850712
2015,7,0.007000917340917594
2015,8,0.006761728533647863
2015,9,0.00512505251252289
2015,10,0.004467981908091326
2015,11,0.0022084423414842564
2015,12,0.001774646576564562
2016,1,0.0019138671021879656
2016,2,0.0025885493563261768
2016,3,0.0028562307517468856
2016,4,0.0038516862348176957
2016,5,0.004550030429584436
2016,6,0.006293667858928958
2016,7,0.007739039813305484
2016,8,0.00737521711119026
2016,9,0.005508336191180524
2016,10,0.003669897622848303
2016,11,0.0030992357403698406
2016,12,0.001176289817240915
2017,1,0.0015110056914589519
2017,2,0.001493875569903252
2017,3,0.0020181144113022346
2017,4,0.0031934293891742456
2017,5,0.0045888651143669
2017,6,0.005707900981381722
2017,7,0.006571129409657778
2017,8,0.00697690401956395
2017,9,0.005897188589649317
2017,10,0.0037212593741100305
2017,11,0.002056535321768408
2017,12,0.0015762693801390126
2018,1,0.0018213722962365524
2018,2,0.0013225278005615498
2018,3,0.0021483570644136424
2018,4,0.0028744470619551793
2018,5,0.004900371074410622
2018,6,0.005870180893163471
2018,7,0.0071717839182493534
2018,8,0.006916714708205963
2018,9,0.004731361180594117
2018,10,0.0037733667749361714
2018,11,0.002989625009262752
2018,12,0.0019715474440325617
2019,1,0.002073743662679026
2019,2,9.242545613343234E-4
2019,3,0.002154734692037587
2019,4,0.002989716522545643
2019,5,0.004737464651688834
2019,6,0.006086794473454316
2019,7,0.00752141667207866
2019,8,0.007009590280486861
2019,9,0.005857283206960704
2019,10,0.0034578760650852735
2019,11,0.0027020441237591885
2019,12,0.0020861678283007517
2020,1,0.0014735618676259988
2020,2,0.002044482804458077
2020,3,0.0018494902973904205
2020,4,0.00275247947552188
2020,5,0.004487728580042123
2020,6,0.005964343737815993
2020,7,0.00729842517443807
2020,8,0.006838150953206664
2020,9,0.006096962970342832
2020,10,0.003576525168730406
2020,11,0.0023600798067434344
2020,12,0.002237625469121679
2021,1,0.001974389562102789
2021,2,0.0013143516185495118
2021,3,0.0023639187218061847
2021,4,0.0028274313939026154
2021,5,0.004228844039119566
2021,6,0.00665171188624384
2021,7,0.007304040932861852
2021,8,0.007221408686248049
2021,9,0.005679415819532815
2021,10,0.0035554822151705762
2021,11,0.0026372823024523547
2021,12,0.0010653044441415835
2022,1,0.0016868077915407546
2022,2,0.0020059149946781373
2022,3,0.002606747692599064
2022,4,0.0024656900274227247
2022,5,0.003949731316167862
2022,6,0.00616301262286709
2022,7,0.007596540302862125
2022,8,0.008000108362852481
2022,9,0.005962808736623082
2022,10,0.004753038949283051
2022,11,0.0018079512949365027
2022,12,0.0011234673908275027
2023,1,0.0022831773426287023
2023,2,0.0018169708133429251
2023,3,0.0018585609074831947
2023,4,0.003062373538488736
2023,5,0.005305869751755908
2023,6,0.006004363606884405
2023,7,0.007665178752334592
2023,8,0.007627092393608549
2023,9,0.005641458477242548
2023,10,0.003987241984240805
2023,11,0.0029532147737679885
2023,12,0.0024944894319743087
2024,1,0.001577796319690534
2024,2,0.0018807090835870634
2024,3,0.002192880489834943
2024,4,0.0028708399426407446
2024,5,0.004179190788483113
2024,6,0.005832786624044729
2024,7,0.007406561865273029
2024,8,0.0072439809009450405
2024,9,0.0059954150664959195
2024,10,0.003840919672831107
2024,11,0.002263531062153408
2024,12,0.0023884295866642563
